county,region,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9
Martin,Coastal Plain ,Beaufort,Bertie,Edgecombe,Halifax,Pitt,Washington,,,
Mecklenburg,Piedmont,Cabarrus,Gaston,Iredell,Lincoln,Union,,,,
Mitchell,Mountain,McDowell,Yancy,,,,,,,
Montgomery ,Piedmont,Davidson,Moore,Randolph,Richmond,Stanly,,,,
Moore,Piedmont,Chatham,Cumberland,Harnett,Montgomery,Randolph,Richmond,,,
Nash,Coastal Plain ,Edgecombe,Franklin,Halifax,Johnston,,,,,
New Hanover,Coastal Plain ,Brunswick,Pender,,,,,,,
Northampton,Coastal Plain ,Bertie,Halifax,Hertford,Warren,,,,,
Onslow,Coastal Plain ,Carteret,Duplin,Jones,Pender,,,,,
Orange,Piedmont,Alamance,Caswell,Chatham,Person,,,,,
Pamlico,Coastal Plain ,Beaufort,Carteret,Craven,,,,,,
Pasquontank,Coastal Plain ,Camden,Gates,Perquimans,,,,,,
Pender,Coastal Plain ,Bladen,Brunswick,Columbus,Duplin,Onlsow,Sampson,,,
Perquimans,Coastal Plain ,Chowan,Gates,Pasquontank,,,,,,
Person,Piedmont,Caswell,Granville,,,,,,,
Pitt,Coastal Plain ,Beaufort,Craven,Edgecombe,Greene,Lenoir,Martin,Wilson,,
Polk,Mountain,Henderson,Rutherford,,,,,,,
Randolph,Piedmont,Alamance,Chathan,Davidson,Guilford,Montgomery,Moore,,,
Richmond,Piedmont,Anson,Montgomery,Moore,,,,,,
Robeson,Coastal Plain ,Bladen,Columbus,Cumberland,,,,,,
Rockingham,Piedmont,Caswell,Guilford,Stokes,,,,,,
Rowan,Piedmont,Cabarrus,Davidson,Davie,Iredell,Stanly,,,,
Rutherford,Mountain,Buncombe,Burke,Cleveland,Henderson,McDowell,Polk,,,
Sampson,Coastal Plain ,Bladen,Cumberland,Duplin,Harnett,Johnston,Pender,Wayne,,
Stanly,Piedmont,Anson,Cabarrus,Montgomery,Rowan,Union,,,,
Stokes,Piedmont,Forsyth,Rockingham,Surry,,,,,,
Surry,Mountain,Alleghany,Stokes,Wilkes,Yadkin,,,,,
Swain,Mountain,Graham,Haywood,Jackson,Macon,,,,,
Transylvania,Mountain,Haywood,Henderson,Jackson,,,,,,
Tyrrell,Coastal Plain ,Dare,Hyde,Washington,,,,,,
Union,Piedmont,Anson,Cabarrus,Mecklenburg,Stanly,,,,,
Wake,Piedmont,Chatham,Franklin,Granville,Harnett,Johnston,,,,
Warren,Piedmont,Franklin,Halifax,Northampton,,,,,,
Washington,Coastal Plain ,Beaufort,Bertie,Hyde,Martin,Tyrrell,,,,
Watauga,Mountain,Ashe,Caldwell,Wilkes,,,,,,
Wayne,Coastal Plain ,Duplin,Greene,Johnston,Lenoir,Sampson,Wilson,,,
Wilkes,Mountain,Alexander,Alleghany,Ashe,Caldwell,Iredell,Surry,Wautauga,Yadkin,
Wilson,Coastal Plain ,Edgecombe,Greene,Johnston,Nash,Pitt,Wayne,,,
Yadkin,Piedmont,Davie,Forsyth,Iredell,Surry,Wilkes,,,,
Yancey,Mountain,Buncombe,Madison,McDowell,Mitchell,,,,,
